id	StartDateTime	EndDateTime	EventType
111011748	2020-02-29T11:00:00	2020-02-29T15:00:00	EXHIBITION
111011749	2020-03-01T11:00:00	2020-03-01T15:00:00	EXHIBITION
110883348	2020-02-26T16:00:00	2020-02-26T18:00:00	OPEN_HOURS
110883347	2020-02-27T16:00:00	2020-02-27T18:00:00	OPEN_HOURS
110883346	2020-02-28T16:00:00	2020-02-28T18:00:00	OPEN_HOURS
110833653	2020-02-29T10:00:00	2020-02-29T16:00:00	OPEN_HOURS
110883345	2020-03-01T10:00:00	2020-03-01T13:00:00	OPEN_HOURS
110957468	2020-02-26T17:00:00	2020-02-26T17:30:00	EXHIBITION
110957469	2020-02-29T10:00:00	2020-02-29T10:30:00	EXHIBITION
110957573	2020-02-27T17:00:00	2020-02-27T17:30:00	EXHIBITION
110957574	2020-02-29T12:15:00	2020-02-29T12:45:00	EXHIBITION
110959858	2020-02-29T09:30:00	2020-02-29T10:15:00	EXHIBITION
110966356	2020-02-29T13:45:00	2020-02-29T14:15:00	EXHIBITION
110856873	2020-02-26T16:00:00	2020-02-26T18:00:00	OPEN_HOURS
110225881	2020-02-27T16:00:00	2020-02-27T18:00:00	OPEN_HOURS
110185887	2020-02-29T11:00:00	2020-02-29T15:00:00	OPEN_HOURS
110535523	2020-03-01T11:00:00	2020-03-01T15:00:00	OPEN_HOURS
110225882	2020-03-03T16:00:00	2020-03-03T18:00:00	OPEN_HOURS
110971700	2020-02-29T10:00:00	2020-02-29T10:30:00	EXHIBITION
110971634	2020-02-29T10:00:00	2020-02-29T10:30:00	EXHIBITION
111009401	2020-02-26T18:45:00	2020-02-26T19:15:00	EXHIBITION
110904334	2020-02-29T13:30:00	2020-02-29T14:00:00	EXHIBITION
110984172	2020-02-29T12:00:00	2020-02-29T12:30:00	EXHIBITION
110992664	2020-02-29T10:00:00	2020-02-29T10:30:00	EXHIBITION
110957007	2020-02-29T13:00:00	2020-02-29T13:30:00	EXHIBITION
110998805	2020-02-26T17:30:00	2020-02-26T18:00:00	EXHIBITION
110998806	2020-02-29T10:00:00	2020-02-29T10:45:00	EXHIBITION
111011783	2020-03-07T10:00:00	2020-03-07T10:45:00	EXHIBITION
111011782	2020-03-14T10:00:00	2020-03-14T10:45:00	EXHIBITION
110986381	2020-02-29T12:00:00	2020-02-29T14:00:00	EXHIBITION
110986382	2020-03-01T10:00:00	2020-03-01T12:30:00	EXHIBITION
111004801	2020-02-29T08:30:00	2020-02-29T09:00:00	EXHIBITION
110974480	2020-02-29T09:30:00	2020-02-29T10:00:00	EXHIBITION
110952962	2020-02-27T18:00:00	2020-02-27T18:30:00	EXHIBITION
110952961	2020-02-29T09:30:00	2020-02-29T10:00:00	EXHIBITION
110996765	2020-02-29T09:30:00	2020-02-29T10:00:00	EXHIBITION
111004008	2020-02-29T09:30:00	2020-02-29T10:00:00	EXHIBITION
110986190	2020-02-27T17:00:00	2020-02-27T18:00:00	EXHIBITION
110986191	2020-02-29T10:00:00	2020-02-29T10:30:00	EXHIBITION
110969172	2020-02-29T10:30:00	2020-02-29T11:00:00	EXHIBITION
110978629	2020-02-29T12:30:00	2020-02-29T13:00:00	EXHIBITION
111013924	2020-02-29T11:45:00	2020-02-29T12:15:00	EXHIBITION
111013923	2020-03-03T17:00:00	2020-03-03T17:30:00	EXHIBITION
111004514	2020-02-29T11:00:00	2020-02-29T11:30:00	EXHIBITION
110520772	2020-02-27T10:00:00	2020-02-27T15:00:00	OPEN_HOURS
110512489	2020-02-28T10:00:00	2020-02-28T15:00:00	OPEN_HOURS
110227946	2020-02-29T10:00:00	2020-02-29T15:00:00	OPEN_HOURS
110227947	2020-03-01T10:00:00	2020-03-01T15:00:00	OPEN_HOURS
110532356	2020-03-02T10:00:00	2020-03-02T15:00:00	OPEN_HOURS
110520771	2020-03-03T10:00:00	2020-03-03T15:00:00	OPEN_HOURS
110520770	2020-03-04T10:00:00	2020-03-04T15:00:00	OPEN_HOURS
111003705	2020-02-29T12:15:00	2020-02-29T12:45:00	EXHIBITION
110994709	2020-02-29T12:45:00	2020-02-29T13:15:00	EXHIBITION
111006407	2020-02-29T12:45:00	2020-02-29T13:15:00	EXHIBITION
110985660	2020-02-29T11:00:00	2020-02-29T12:30:00	EXHIBITION
110985661	2020-02-29T15:00:00	2020-02-29T16:00:00	EXHIBITION
110985662	2020-03-01T11:00:00	2020-03-01T12:30:00	EXHIBITION
110994781	2020-02-29T13:30:00	2020-02-29T14:00:00	EXHIBITION
110985680	2020-02-29T11:00:00	2020-02-29T12:30:00	EXHIBITION
110985681	2020-02-29T15:00:00	2020-02-29T16:00:00	EXHIBITION
110985682	2020-03-01T11:00:00	2020-03-01T12:30:00	EXHIBITION
